Super Maison Pokemon

# | Pokemon | Nature | Item | Move | Move | Move | Move | EV Spread
0 | Barbaracle1 | Adamant | BrightPowder | Stone Edge | Razor Shell | Shell Smash | Double Team | Atk/Spd
620 | Scrafty3 | Adamant | Muscle Band | Substitute | Payback | Hi Jump Kick | Focus Punch | HP/Atk
621 | Ferrothorn3 | Brave | Custap Berry | Protect | Payback | Explosion | Gyro Ball | HP/Atk
622 | Alakazam3 | Timid | Wise Glasses | Psychic | Focus Blast | Signal Beam | Grass Knot | Spd/SpA
623 | Slowking3 | Modest | Choice Specs | Psychic | Shadow Ball | Signal Beam | Focus Blast | SpA/SpD
624 | Miltank3 | Adamant | Scope Lens | Dizzy Punch | Fire Punch | ThunderPunch | Ice Punch | Atk/Def
625 | Altaria3 | Jolly | Power Herb | Dragon Dance | Dragon Rush | Sky Attack | Earthquake | Atk/Spd
626 | Toxicroak3 | Modest | Focus Sash | Sludge Bomb | Focus Blast | Shadow Ball | Dark Pulse | Spd/SpA
627 | Gothitelle3 | Modest | Kee Berry | Charm | Safeguard | Psychic | Charge Beam | HP/SpA
628 | Reuniclus3 | Quiet | Colbur Berry | Calm Mind | Psychic | Focus Blast | Shadow Ball | Def/SpA
629 | Bisharp3 | Jolly | Chople Berry | Iron Head | Night Slash | Low Sweep | Sucker Punch | Atk/Spd
630 | Abomasnow3 | Quiet | Focus Sash | Blizzard | Wood Hammer | Focus Blast | Ice Shard | HP/SpA
631 | Nidoqueen3 | Modest | Black Sludge | Sludge Bomb | Earth Power | Flamethrower | Ice Beam | HP/SpA
632 | Nidoking3 | Modest | Black Sludge | Earth Power | Sludge Bomb | Protect | Icy Wind | Spd/SpA
633 | Cradily3 | Relaxed | Leftovers | Sandstorm | Toxic | Protect | Earthquake | HP/Def
634 | Armaldo3 | Adamant | Life Orb | X-Scissor | Rock Slide | Earthquake | Iron Defense | HP/SpD
635 | Rampardos3 | Jolly | Choice Scarf | Head Smash | Earthquake | Brick Break | ThunderPunch | Atk/Spd
636 | Bastiodon3 | Careful | Leftovers | Stone Edge | Fissure | Double Team | Iron Defense | HP/SpD
637 | Floatzel3 | Hasty | Damp Rock | Surf | Ice Beam | Focus Blast | Rain Dance | Spd/SpA
638 | Mismagius3 | Timid | Sitrus Berry | Icy Wind | Shadow Ball | Thunderbolt | Destiny Bond | Spd/SpA
639 | Carracosta3 | Adamant | Damp Rock | Rain Dance | Waterfall | Rock Slide | Earthquake | Atk/Spd
640 | Escavalier3 | Brave | Life Orb | Megahorn | Iron Defense | Poison Jab | Iron Head | HP/Atk
641 | Accelgor3 | Timid | Focus Sash | U-turn | Bug Buzz | Focus Blast | Final Gambit | HP/Spd
642 | Zebstrika3 | Jolly | Air Balloon | Flame Charge | Toxic | Wild Charge | Volt Switch | Atk/Spd
643 | Drifblim3 | Timid | Wise Glasses | Shadow Ball | Thunderbolt | Icy Wind | Destiny Bond | Def/Spd
644 | Seismitoad3 | Timid | Damp Rock | Rain Dance | Muddy Water | Earth Power | Sludge Bomb | Spd/SpA
645 | Poliwrath3 | Adamant | Leftovers | Waterfall | Focus Punch | Encore | Substitute | HP/Atk
646 | Rapidash3 | Jolly | Focus Sash | Flare Blitz | Poison Jab | Iron Tail | Horn Drill | Atk/Spd
647 | Muk3 | Brave | Zoom Lens | Gunk Shot | Payback | Shadow Sneak | Curse | HP/Atk
648 | Gengar3 | Timid | Payapa Berry | Shadow Ball | Energy Ball | Dazzling Gleam | Round | Spd/SpA
649 | Ampharos3 | Modest | Chesto Berry | Thunder Wave | Charge Beam | Hyper Beam | Rest | HP/SpA
650 | Politoed3 | Careful | Chesto Berry | Waterfall | Earthquake | Belly Drum | Rest | Atk/SpD
651 | Pinsir3 | Adamant | Lax Incense | X-Scissor | Superpower | Stone Edge | Giga Impact | Atk/Def
652 | Scizor3 | Brave | Life Orb | Swords Dance | Bullet Punch | Reversal | U-turn | HP/Atk
653 | Heracross3 | Jolly | Coba Berry | Megahorn | Stone Edge | Facade | Shadow Claw | Atk/Spd
654 | Ursaring3 | Adamant | Toxic Orb | Facade | Superpower | Crunch | Protect | HP/Atk
655 | Houndoom3 | Timid | Air Balloon | Flamethrower | Shadow Ball | Sludge Bomb | Will-O-Wisp | Spd/SpA
656 | Donphan3 | Brave | Maranga Berry | Earthquake | Gyro Ball | Fire Fang | Thunder Fang | Atk/Def
657 | Wailord3 | Careful | Leftovers | Waterfall | Avalanche | Aqua Ring | Curse | Def/SpD
658 | Claydol3 | Modest | Luminous Moss | Earth Power | Psychic | Ally Switch | Ice Beam | SpA/SpD
659 | Bronzong3 | Adamant | Quick Claw | Iron Head | Zen Headbutt | Earthquake | Explosion | HP/Atk
660 | Drapion3 | Jolly | Scope Lens | Cross Poison | Night Slash | Fire Fang | Earthquake | Atk/Spd
661 | Luxray3 | Adamant | White Herb | Thunder Fang | Ice Fang | Superpower | Thunder Wave | HP/Atk
662 | Ninetales3 | Timid | Wide Lens | Fire Blast | Extrasensory | Hypnosis | Disable | Spd/SpD
663 | Machamp3 | Jolly | Choice Scarf | DynamicPunch | Ice Punch | Rock Slide | Earthquake | Atk/Spd
664 | Shuckle3 | Relaxed | Lax Incense | Gyro Ball | Double Team | Substitute | Power Trick | HP/Def
665 | Roserade3 | Timid | White Herb | Leaf Storm | Sludge Bomb | Hyper Beam | GrassWhistle | Spd/SpA
666 | Honchkrow3 | Modest | Life Orb | Air Cutter | Dark Pulse | Snatch | Shadow Ball | HP/SpA
667 | Gigalith3 | Adamant | Custap Berry | Stone Edge | Earthquake | Sandstorm | Explosion | HP/Atk
668 | Conkeldurr3 | Adamant | Sitrus Berry | Bulk Up | Drain Punch | Payback | Stone Edge | Atk/SpD
669 | Excadrill3 | Adamant | BrightPowder | Sandstorm | Earthquake | Rock Slide | Poison Jab | Atk/Def/SpD
670 | Krookodile3 | Adamant | Roseli Berry | Earthquake | Crunch | Stone Edge | Dragon Tail | Atk/SpD
671 | Steelix3 | Brave | Quick Claw | Gyro Ball | Earthquake | Stone Edge | Explosion | Atk/SpD
672 | Weavile3 | Jolly | Focus Sash | Fake Out | Ice Punch | Night Slash | Protect | Atk/Spd
673 | Gliscor3 | Adamant | Expert Belt | Aerial Ace | Earthquake | X-Scissor | Stone Edge | Atk/Def
674 | Zoroark3 | Jolly | Sitrus Berry | Swords Dance | Night Slash | U-turn | Sucker Punch | Atk/Spd
675 | Mandibuzz3 | Modest | Sitrus Berry | Nasty Plot | Dark Pulse | Air Slash | Incinerate | HP/Def/SpD
676 | Braviary3 | Adamant | Choice Scarf | Brave Bird | Return | U-turn | Rock Slide | Atk/Spd
677 | Tentacruel3 | Modest | Focus Sash | Hydro Pump | Sludge Bomb | Giga Drain | Mirror Coat | HP/SpA
678 | Aerodactyl3 | Jolly | Expert Belt | Iron Head | Earthquake | Rock Slide | Thunder Fang | Atk/Spd
679 | Porygon23 | Modest | Choice Specs | Tri Attack | Thunderbolt | Psychic | Ice Beam | HP/SpA
680 | Lickilicky3 | Careful | Leftovers | Return | Gyro Ball | Curse | Rest | HP/SpD
681 | Yanmega3 | Modest | Lum Berry | Silver Wind | Air Slash | Detect | Giga Drain | Spd/SpA
682 | Gardevoir3 | Timid | Lum Berry | Psychic | Shadow Ball | Energy Ball | Dazzling Gleam | Spd/SpA
683 | Gallade3 | Adamant | Scope Lens | Psycho Cut | Stone Edge | Night Slash | X-Scissor | Atk/SpD
684 | Exeggutor3 | Modest | Expert Belt | Leaf Storm | Psychic | Sludge Bomb | AncientPower | HP/SpA
685 | Starmie3 | Timid | Focus Sash | Surf | Psychic | Power Gem | Signal Beam | Spd/SpA
686 | Flygon3 | Timid | White Herb | Draco Meteor | Earth Power | Flamethrower | Giga Drain | Spd/SpA
687 | Klinklang3 | Adamant | Occa Berry | Shift Gear | Gear Grind | Volt Switch | Giga Impact | Atk/Spd
688 | Chandelure3 | Modest | White Herb | Overheat | Shadow Ball | Protect | Will-O-Wisp | HP/SpA
689 | Vaporeon3 | Modest | Leftovers | Muddy Water | Blizzard | Aqua Ring | Yawn | HP/SpA
690 | Jolteon3 | Timid | Kings Rock | Thunder | Shadow Ball | Rain Dance | Yawn | Spd/SpA
691 | Flareon3 | Brave | White Herb | Superpower | Return | Will-O-Wisp | Overheat | HP/Atk
692 | Espeon3 | Modest | Lum Berry | Psychic | Shadow Ball | Hyper Beam | Grass Knot | Spd/SpA
693 | Umbreon3 | Impish | Sitrus Berry | Faint Attack | Swagger | Psych Up | Screech | HP/Def
694 | Leafeon3 | Adamant | Heat Rock | Sunny Day | Leaf Blade | X-Scissor | Synthesis | Atk/Def
695 | Glaceon3 | Modest | Focus Sash | Hail | Blizzard | Mirror Coat | Hyper Beam | Def/SpA
696 | Lucario3 | Jolly | Muscle Band | Close Combat | Earthquake | Blaze Kick | Shadow Claw | Atk/Spd
697 | Hippowdon3 | Adamant | Sitrus Berry | Earthquake | Crunch | Slack Off | Yawn | Atk/SpD
698 | Probopass3 | Adamant | Scope Lens | Stone Edge | Iron Head | Earthquake | Explosion | Atk/Def
699 | Dusknoir3 | Sassy | Leftovers | Toxic | Will-O-Wisp | Protect | Double Team | HP/SpD
700 | Mienshao3 | Jolly | Focus Sash | Low Kick | Fake Out | Hi Jump Kick | U-turn | Atk/Spd
701 | Beartic3 | Adamant | Sitrus Berry | Swords Dance | Avalanche | Rock Slide | Brick Break | Atk/Def
702 | Bouffalant3 | Adamant | Sitrus Berry | Swords Dance | Earthquake | Head Charge | Payback | HP/Atk
703 | Aggron3 | Adamant | Wide Lens | Iron Tail | Dragon Rush | Avalanche | Stone Edge | Atk/Def
704 | Walrein3 | Modest | Leftovers | Surf | Blizzard | Hail | Signal Beam | HP/SpA
705 | Mamoswine3 | Adamant | Lax Incense | Hail | Earthquake | Superpower | Fissure | HP/Atk
706 | Lapras3 | Modest | BrightPowder | Surf | Ice Beam | Thunderbolt | Psychic | HP/SpA
707 | Crobat3 | Jolly | Razor Claw | Cross Poison | Brave Bird | Zen Headbutt | X-Scissor | Atk/Spd
708 | Magnezone3 | Modest | BrightPowder | Charge Beam | Flash Cannon | Magnet Rise | Thunder Wave | Def/SpA
709 | Rhyperior3 | Impish | Focus Sash | Horn Drill | Avalanche | Payback | Counter | HP/Def
710 | Tangrowth3 | Modest | Heat Rock | Sunny Day | SolarBeam | Synthesis | Wring Out | Def/SpA
711 | Porygon-z3 | Modest | Expert Belt | Psychic | Ice Beam | Signal Beam | Charge Beam | HP/SpA
712 | Vanilluxe3 | Modest | Leftovers | Hail | Blizzard | Flash Cannon | Sheer Cold | HP/SpA
713 | Eelektross3 | Brave | Assault Vest | Brick Break | U-turn | Grass Knot | Wild Charge | HP/Atk
714 | Gyarados3 | Jolly | Wacan Berry | Dragon Dance | Waterfall | Stone Edge | Earthquake | Atk/Spd
715 | Snorlax3 | Adamant | Life Orb | Double-Edge | Earthquake | Crunch | Protect | Atk/Def
716 | Kingdra3 | Modest | Maranga Berry | Rain Dance | Hydro Pump | Dragon Pulse | Ice Beam | HP/Spd/SpA
717 | Blissey3 | Bold | Leftovers | Thunderbolt | Ice Beam | Counter | Calm Mind | HP/Def
718 | Milotic3 | Calm | Wide Lens | Hydro Pump | Blizzard | Mirror Coat | Recover | SpA/SpD
719 | Electivire3 | Modest | Air Balloon | Thunderbolt | Psychic | Focus Blast | Signal Beam | Spd/SpA
720 | Magmortar3 | Jolly | Passho Berry | Flare Blitz | ThunderPunch | Earthquake | Brick Break | Atk/Spd
721 | Haxorus3 | Jolly | Choice Band | Outrage | Earthquake | Dragon Claw | Rock Slide | Atk/Spd
722 | Togekiss3 | Timid | Kings Rock | Grass Knot | Thunder Wave | Air Slash | Shadow Ball | Spd/SpA
723 | Volcarona3 | Bold | White Herb | Overheat | Quiver Dance | Bug Buzz | Protect | HP/Def
724 | Arcanine3 | Timid | White Herb | Overheat | Sunny Day | SolarBeam | Dragon Pulse | Spd/SpA
725 | Archeops3 | Jolly | Choice Band | Aerial Ace | Earthquake | Head Smash | U-turn | Atk/Spd
726 | Dragonite3 | Adamant | Choice Band | Outrage | Earthquake | Giga Impact | Superpower | Atk/SpD
727 | Tyranitar3 | Jolly | Chople Berry | Stone Edge | Crunch | Earthquake | Dragon Dance | Atk/Spd
728 | Salamence3 | Jolly | Yache Berry | Draco Meteor | Dragon Rush | Earthquake | Brick Break | Atk/Spd
729 | Metagross3 | Adamant | Occa Berry | Earthquake | Meteor Mash | Bullet Punch | Explosion | HP/Atk/SpD
730 | Garchomp3 | Adamant | Choice Scarf | Outrage | Earthquake | Fire Fang | Crunch | Atk/Spd
731 | Hydreigon3 | Timid | White Herb | Draco Meteor | Taunt | Earth Power | Flamethrower | Spd/SpA
732 | Slaking3 | Adamant | Choice Band | Giga Impact | Shadow Claw | Hammer Arm | Earthquake | HP/Atk
733 | Venusaur4 | Bold | Black Sludge | Leech Seed | Substitute | Sludge Bomb | Protect | HP/SpD
734 | Charizard4 | Modest | Assault Vest | Heat Wave | Air Slash | Dragon Pulse | Focus Blast | Spd/SpA
735 | Blastoise4 | Adamant | Custap Berry | Yawn | Waterfall | Focus Punch | Rock Slide | HP/Atk
736 | Meganium4 | Bold | Leftovers | Leech Seed | Ingrain | Toxic | Protect | Def/SpD
737 | Typhlosion4 | Modest | Power Herb | Extrasensory | Lava Plume | Bulldoze | SolarBeam | Spd/SpA
738 | Feraligatr4 | Adamant | Liechi Berry | Dragon Dance | Waterfall | Crunch | Substitute | Atk/Spd
739 | Sceptile4 | Calm | Leftovers | Leech Seed | Endeavor | Energy Ball | Toxic | Def/SpD
740 | Blaziken4 | Hardy | Shuca Berry | Flame Charge | Flare Blitz | ThunderPunch | Low Kick | Atk/Spd
741 | Swampert4 | Careful | Chesto Berry | Curse | Rest | Earthquake | Waterfall | HP/SpD
742 | Torterra4 | Hardy | Leftovers | Stockpile | Leech Seed | Earthquake | Protect | HP/SpD
743 | Infernape4 | Jolly | Focus Sash | Fake Out | Encore | Flare Blitz | Close Combat | Atk/Spd
744 | Empoleon4 | Calm | Petaya Berry | Surf | Substitute | Blizzard | Whirlpool | HP/SpA
745 | Serperior4 | Modest | Choice Specs | Leaf Storm |  |  |  | Spd/SpA
746 | Emboar4 | Timid | Salac Berry | Substitute | Flamethrower | Focus Blast | Scald | Spd/SpA
747 | Samurott4 | Modest | Salac Berry | Hydro Pump | Ice Beam | Grass Knot | Protect | Def/SpA/SpD
748 | Dugtrio4 | Jolly | BrightPowder | Toxic | Dig | Substitute | Sandstorm | Atk/Spd
749 | Marowak4 | Jolly | Thick Club | Earthquake | Outrage | Detect | Rock Slide | Atk/Spd
750 | Medicham4 | Adamant | Life Orb | Hi Jump Kick | Psycho Cut | Fake Out | Detect | Atk/Spd
751 | Quagsire4 | Careful | Leftovers | Curse | Amnesia | Earthquake | Waterfall | HP/SpD
752 | Granbull4 | Adamant | Life Orb | Fire Fang | Ice Fang | Play Rough | Crunch | Atk/Spd
753 | Jynx4 | Timid | Wide Lens | Lovely Kiss | Blizzard | Psychic | Fake Out | Spd/SpA
754 | Mr. Mime4 | Modest | Babiri Berry | Shadow Ball | Signal Beam | Dazzling Gleam | Psychic | Spd/SpA
755 | Lanturn4 | Bold | Chesto Berry | Stockpile | Rest | Charge Beam | Ice Beam | Def/SpD
756 | Breloom4 | Careful | Toxic Orb | Protect | Leech Seed | Substitute | Focus Punch | HP/Def/SpD
757 | Forretress4 | Careful | Custap Berry | Toxic Spikes | Stealth Rock | Spikes | Explosion | HP/SpD
758 | Skarmory4 | Careful | Lum Berry | Spikes | Stealth Rock | Whirlwind | Toxic | HP/SpD
759 | Absol4 | Jolly | BrightPowder | Substitute | Swagger | Punishment | Will-O-Wisp | Atk/Spd
760 | Whiscash4 | Calm | Leftovers | Rest | Sleep Talk | Fissure | Muddy Water | HP/Def/SpD
761 | Hariyama4 | Careful | Sitrus Berry | Belly Drum | Brick Break | Ice Punch | Bullet Punch | Def/SpD
762 | Vespiquen4 | Brave | Custap Berry | Attack Order | U-turn | Aerial Ace | Destiny Bond | HP/Atk
763 | Raichu4 | Timid | Lum Berry | Encore | Magnet Rise | Thunderbolt | Grass Knot | Spd/SpA
764 | Dewgong4 | Bold | Salac Berry | Rain Dance | Rest | Surf | Stockpile | HP/Def/SpD
765 | Manectric4 | Timid | Choice Scarf | Switcheroo | Thunder | Volt Switch | Overheat | Spd/SpA
766 | Staraptor4 | Jolly | Sitrus Berry | Brave Bird | Double-Edge | Roost | FeatherDance | Atk/Spd
767 | Gastrodon4 | Bold | Leftovers | Amnesia | Curse | Earthquake | Waterfall | Def/SpD
768 | Skuntank4 | Brave | Custap Berry | Night Slash | Poison Jab | Fire Blast | Explosion | Atk/Def/SpD
769 | Sawk4 | Adamant | Life Orb | Close Combat | Earthquake | Stone Edge | Taunt | Atk/Spd
770 | Throh4 | Brave | Flame Orb | Protect | Earthquake | Storm Throw | Payback | Atk/SpD
771 | Unfezant4 | Impish | BrightPowder | Detect | FeatherDance | Toxic | Fly | HP/SpD
772 | Vileplume4 | Modest | Lum Berry | Giga Drain | SolarBeam | Teeter Dance | Sludge Bomb | Spd/SpA
773 | Victreebel4 | Modest | Life Orb | Weather Ball | SolarBeam | Sludge Bomb | Gastro Acid | Spd/SpA
774 | Electrode4 | Timid | Damp Rock | Rain Dance | Thunder | Taunt | Light Screen | Spd/SpA
775 | Ludicolo4 | Modest | Kee Berry | Fake Out | Hydro Pump | Leech Seed | Grass Knot | Spd/SpA
776 | Shiftry4 | Adamant | Focus Sash | Fake Out | Sucker Punch | Low Kick | Protect | Atk/Def
777 | Exploud4 | Timid | Life Orb | Icy Wind | Hyper Voice | Focus Blast | Shadow Ball | Spd/SpA
778 | Lopunny4 | Jolly | Flame Orb | Switcheroo | Mirror Coat | Protect | Dig | HP/Spd
779 | Froslass4 | Timid | Focus Sash | Blizzard | Icy Wind | Shadow Ball | Destiny Bond | Spd/SpA
780 | Lilligant4 | Bold | Lum Berry | SolarBeam | Teeter Dance | Charm | Leech Seed | HP/Def/Spd/SpA
781 | Darmanitan4 | Impish | Choice Scarf | Flare Blitz | Stone Edge | U-turn | Superpower | Atk/Spd
782 | Ambipom4 | Jolly | Kings Rock | Fling | Taunt | Return | Payback | Atk/Spd
783 | Cofagrigus4 | Bold | Leftovers | Will-O-Wisp | Toxic | Hex | Calm Mind | HP/SpD
784 | Golurk4 | Brave | Iron Ball | Hammer Arm | Earthquake | Shadow Punch | Fling | HP/Atk
785 | Durant4 | Jolly | Focus Sash | Entrainment | X-Scissor | Iron Head | Protect | HP/Spd
786 | Golem4 | Brave | Iron Ball | Rock Slide | Earthquake | Explosion | Fling | Atk/SpD
787 | Slowbro4 | Quiet | Leftovers | Psychic | Surf | Blizzard | Trick Room | HP/Def
788 | Weezing4 | Careful | Chesto Berry | Toxic | Will-O-Wisp | Stockpile | Rest | HP/SpD
789 | Kangaskhan4 | Jolly | Salac Berry | Fake Out | Endeavor | Return | Substitute | Atk/Spd
790 | Tauros4 | Careful | Sitrus Berry | Toxic | Protect | Double Team | Earthquake | HP/SpD
791 | Spiritomb4 | Careful | Custap Berry | Will-O-Wisp | Sucker Punch | Substitute | Pain Split | HP/SpD
792 | Cryogonal4 | Naive | Focus Sash | Hail | Icy Wind | Blizzard | Explosion | Spd/SpA
793 | Druddigon4 | Adamant | Choice Band | Outrage | Earthquake | Superpower | Dragon Tail | HP/Atk
794 | Musharna4 | Relaxed | Chesto Berry | Stored Power | Calm Mind | Shadow Ball | Rest | Def/SpD
795 | Scrafty4 | Careful | Leftovers | Bulk Up | Payback | Protect | Drain Punch | HP/SpD
796 | Ferrothorn4 | Sassy | Leftovers | Curse | Rock Smash | Gyro Ball | Ingrain | HP/SpD
797 | Alakazam4 | Timid | Choice Specs | Psychic | Focus Blast | Disable | Trick | Spd/SpA
798 | Slowking4 | Quiet | Lum Berry | Psychic | Surf | Ice Beam | Trick Room | HP/SpD
799 | Miltank4 | Jolly | Salac Berry | Substitute | Earthquake | Rock Slide | Zen Headbutt | Atk/Spd
800 | Altaria4 | Calm | Wide Lens | Cotton Guard | Sing | Moonblast | Dream Eater | HP/SpD
801 | Toxicroak4 | Adamant | Wide Lens | Cross Chop | Sucker Punch | Gunk Shot | Taunt | Atk/Spd
802 | Gothitelle4 | Modest | BrightPowder | Substitute | Flatter | Psych Up | Psychic | HP/SpA
803 | Reuniclus4 | Relaxed | Toxic Orb | Trick | Psychic | Focus Blast | Recover | Def/SpD
804 | Bisharp4 | Adamant | Focus Sash | Taunt | Sucker Punch | Rock Smash | Iron Head | HP/Atk
805 | Abomasnow4 | Quiet | Occa Berry | Blizzard | Focus Blast | Protect | Ice Shard | HP/SpA
806 | Nidoqueen4 | Adamant | Black Sludge | Poison Jab | Dragon Tail | Bulldoze | Earthquake | HP/Atk
807 | Nidoking4 | Adamant | Muscle Band | Earthquake | Poison Jab | Megahorn | Protect | Atk/Spd
808 | Cradily4 | Sassy | Big Root | Stockpile | Protect | Ingrain | Giga Drain | HP/Def
809 | Armaldo4 | Adamant | Choice Band | Superpower | Stone Edge | Earthquake | X-Scissor | HP/Atk
810 | Rampardos4 | Relaxed | Sitrus Berry | Head Smash | Earthquake | Rock Slide | Protect | Atk/SpD
811 | Bastiodon4 | Brave | Sitrus Berry | Metal Burst | Rock Slide | Wide Guard | Curse | HP/Atk
812 | Floatzel4 | Hasty | Life Orb | Waterfall | Aqua Jet | Low Kick | Protect | Atk/Spd
813 | Mismagius4 | Bold | BrightPowder | Power Gem | Protect | Perish Song | Mean Look | HP/Def
814 | Carracosta4 | Adamant | Weakness Policy | Waterfall | Rock Slide | Aqua Jet | Earthquake | Atk/Spd
815 | Escavalier4 | Adamant | Custap Berry | Megahorn | Iron Head | Swagger | Reversal | HP/Atk
816 | Accelgor4 | Timid | Focus Sash | Bug Buzz | Encore | Focus Blast | Protect | Spd/SpA
817 | Zebstrika4 | Jolly | Focus Sash | Me First | Wild Charge | Thunder Wave | Volt Switch | Atk/Spd
818 | Drifblim4 | Bold | Custap Berry | Shadow Ball | Thunderbolt | Hypnosis | Destiny Bond | Spd/SpD
819 | Seismitoad4 | Jolly | Maranga Berry | Brick Break | Poison Jab | Dig | Payback | Atk/Spd
820 | Poliwrath4 | Adamant | Sitrus Berry | Waterfall | Earthquake | Focus Punch | Circle Throw | HP/Atk
821 | Rapidash4 | Jolly | Charcoal | Flare Blitz | Megahorn | Double-Edge | Protect | Atk/Spd
822 | Muk4 | Adamant | Quick Claw | Gunk Shot | Shadow Sneak | Brick Break | Explosion | HP/Atk
823 | Gengar4 | Timid | Lum Berry | Sludge Bomb | Thunderbolt | Shadow Ball | Destiny Bond | Spd/SpA
824 | Ampharos4 | Quiet | Zoom Lens | Thunder | Focus Blast | Signal Beam | Power Gem | HP/SpA
825 | Politoed4 | Modest | Wide Lens | Hydro Pump | Blizzard | Focus Blast | Hypnosis | SpA/SpD
826 | Pinsir4 | Jolly | Choice Scarf | X-Scissor | Earthquake | Close Combat | Guillotine | Atk/Spd
827 | Scizor4 | Adamant | Occa Berry | Bug Bite | Aerial Ace | Roost | Bullet Punch | HP/Atk
828 | Heracross4 | Jolly | Salac Berry | Megahorn | Earthquake | Reversal | Endure | Atk/Spd
829 | Ursaring4 | Adamant | Quick Claw | Return | Cross Chop | Earthquake | Aerial Ace | HP/Atk
830 | Houndoom4 | Timid | White Herb | Overheat | Dark Pulse | SolarBeam | Sunny Day | Spd/SpA
831 | Donphan4 | Adamant | Quick Claw | Earthquake | Stone Edge | Seed Bomb | Fissure | Atk/SpD
832 | Wailord4 | Modest | Zoom Lens | Hydro Pump | Blizzard | Fissure | Hyper Beam | HP/SpA
833 | Claydol4 | Adamant | Custap Berry | Earthquake | Zen Headbutt | Rock Slide | Explosion | Atk/SpD
834 | Bronzong4 | Brave | Lum Berry | Safeguard | Rock Slide | Zen Headbutt | Trick Room | HP/Atk
835 | Drapion4 | Careful | Razor Claw | Cross Poison | Night Slash | Earthquake | Swords Dance | HP/Atk
836 | Luxray4 | Careful | Air Balloon | Thunder Fang | Ice Fang | Light Screen | Thunder Wave | HP/SpD
837 | Ninetales4 | Timid | Passho Berry | Flamethrower | Extrasensory | Energy Ball | Calm Mind | HP/Spd
838 | Machamp4 | Adamant | Flame Orb | Protect | Earthquake | Close Combat | Payback | Atk/SpD
839 | Shuckle4 | Relaxed | Leftovers | Toxic | Protect | Sandstorm | Wrap | HP/Def
840 | Roserade4 | Bold | Black Sludge | Toxic | Protect | Leech Seed | Giga Drain | HP/Def
841 | Honchkrow4 | Adamant | Life Orb | Night Slash | Drill Peck | Sucker Punch | Thunder Wave | HP/Atk
842 | Gigalith4 | Quiet | Leftovers | Rock Slide | Stealth Rock | Curse | Earthquake | HP/SpD
843 | Conkeldurr4 | Brave | Iron Ball | Fling | Rock Slide | Superpower | Mach Punch | Atk/SpD
844 | Excadrill4 | Adamant | Life Orb | Earthquake | Aerial Ace | Poison Jab | Rock Slide | Atk/Def/SpD
845 | Krookodile4 | Jolly | Liechi Berry | Earthquake | Pursuit | Low Sweep | Rock Slide | Atk/Spd
846 | Steelix4 | Relaxed | Iron Ball | Gyro Ball | Payback | Swagger | Curse | Atk/Def
847 | Weavile4 | Jolly | Focus Sash | Taunt | Ice Punch | Night Slash | Fake Out | Atk/Spd
848 | Gliscor4 | Jolly | Focus Sash | Earthquake | Acrobatics | U-turn | Counter | HP/Spd
849 | Zoroark4 | Timid | Focus Band | Protect | Counter | Dark Pulse | Focus Blast | Spd/SpA
850 | Mandibuzz4 | Careful | Leftovers | Substitute | Swagger | Punishment | Roost | HP/Def/SpD
851 | Braviary4 | Adamant | Wacan Berry | Brave Bird | Tailwind | Superpower | Giga Impact | Atk/Spd
852 | Tentacruel4 | Bold | Black Sludge | Surf | Toxic | Venoshock | Protect | HP/Def
853 | Aerodactyl4 | Jolly | Choice Band | Stone Edge | Aerial Ace | Earthquake | Crunch | Atk/Spd
854 | Porygon24 | Modest | Lum Berry | Tri Attack | Thunder Wave | Shadow Ball | Ice Beam | HP/SpA
855 | Lickilicky4 | Adamant | Lax Incense | Body Slam | Power Whip | Earthquake | Explosion | HP/Atk
856 | Yanmega4 | Modest | Kings Rock | Bug Buzz | Air Slash | Detect | Shadow Ball | Spd/SpA
857 | Gardevoir4 | Modest | Babiri Berry | Psychic | Moonblast | Focus Blast | Thunderbolt | Spd/SpA
858 | Gallade4 | Jolly | Lum Berry | Psycho Cut | Close Combat | Heal Pulse | Ally Switch | Atk/Spd
859 | Exeggutor4 | Brave | Lum Berry | Wood Hammer | Zen Headbutt | Explosion | Trick Room | HP/Atk
860 | Starmie4 | Timid | Kings Rock | Surf | Psychic | Thunderbolt | Ice Beam | Spd/SpA
861 | Flygon4 | Adamant | Lum Berry | Earthquake | Outrage | Crunch | Stone Edge | Atk/Spd
862 | Klinklang4 | Modest | Leftovers | Flash Cannon | Thunderbolt | Protect | Toxic | Spd/SpA
863 | Chandelure4 | Bold | Leftovers | Calm Mind | Will-O-Wisp | Shadow Ball | Heat Wave | HP/SpD
864 | Vaporeon4 | Modest | Expert Belt | Surf | Ice Beam | Shadow Ball | Signal Beam | HP/SpA
865 | Jolteon4 | Timid | Razor Fang | Thunderbolt | Hyper Beam | Fake Tears | Signal Beam | Spd/SpA
866 | Flareon4 | Adamant | White Herb | Bite | Superpower | Giga Impact | Fire Fang | Atk/SpD
867 | Espeon4 | Timid | Expert Belt | Psychic | Shadow Ball | Signal Beam | Dazzling Gleam | Spd/SpA
868 | Umbreon4 | Careful | Chesto Berry | Curse | Trump Card | Payback | Rest | HP/Def
869 | Leafeon4 | Adamant | Quick Claw | Leaf Blade | X-Scissor | Aerial Ace | Detect | Atk/Def
